model,source,rep,X_mean,X_sd,X_q05,X_q50,X_q95,Vhat_mean,Vhat_sd,Vhat_q05,Vhat_q50,Vhat_q95
M2,simulated,61,-0.07831211704683906,0.8833753793950667,-1.3372669620514865,-0.18963976448825487,1.3640314465740486,-0.019284656841685167,6.464076612048763,-8.902739714610288,-0.30166491775073384,10.047569597937748
M2,simulated,62,0.03510661095258655,0.8310985063677657,-1.3350421443747775,0.11409652481656124,1.3930171960817461,-0.018212968487193504,6.198510848442005,-8.181405689838469,-0.41798801807872643,9.437588446003458
M2,simulated,63,-0.2501602384111561,0.8494016433485463,-1.466741264340063,-0.3290648129612891,1.2094173242007094,-0.05425733226928118,6.845771272993273,-9.326234522632472,-0.30733689389980806,9.902943759757482
M2,simulated,64,0.06539541280468136,0.8868588264730369,-1.299425827107504,0.11736250045189356,1.3840011199543245,-0.0137017107908323,5.939744043037531,-8.653301727230842,-0.42350968366965946,9.462320309630423
M2,simulated,65,0.012137913322068334,0.8470708884506172,-1.2746831792228948,-0.00500781480824898,1.341418132214834,-0.036652923679584705,5.721291519298945,-8.083869776487141,-0.23989769953154244,9.04308637046041
M2,simulated,66,-0.08023000242871443,0.9256852212950735,-1.3392548073455592,-0.22050652875154378,1.3867081040698495,-0.0027848008310782687,6.645873188120817,-8.676495191776958,-0.34215007992728225,9.531965983319378
M2,simulated,67,0.27186872389772737,0.7972629785361703,-1.1935709085450321,0.4242043277590988,1.3965431963720627,-0.03387316103803087,6.101780559035876,-8.18828966580072,-0.3994715377394334,9.102477223755994
M2,simulated,68,0.1424931012594263,0.8537433747853156,-1.2809945276247379,0.27499623884795177,1.374067015395657,-0.04963078354862355,6.293701293431944,-9.225431405848505,-0.45529609976193847,10.04089452424799
M2,simulated,69,0.1998416947120123,0.8142507326145079,-1.172126513934006,0.27788309103009534,1.358254222844343,-0.034555118459682045,6.12377343128055,-8.577099432213547,-0.4071680239845138,9.998308701435432
M2,simulated,70,0.10653689931025269,0.8432171024892655,-1.236623878489072,0.1649362530486912,1.3490716381788674,-0.011235737327346862,5.912641718181528,-8.30261043975359,-0.25533683982929684,9.10860504091583
M2,simulated,71,-0.20330262297205812,0.8376413917459984,-1.393975485321474,-0.28299331772763336,1.1970861060246627,-0.024235003768853937,6.600888695843766,-9.122907069354026,-0.3996656678517603,10.003249774648758
M2,simulated,72,-0.005483710388496678,0.9120835639198351,-1.3616908409996422,-0.053506383650988865,1.4244517570636588,-0.05324648620369479,6.2526418843581295,-8.583719940436042,-0.3845773610973241,9.683820889295719
M2,simulated,73,0.08362362988635318,0.9159689773119757,-1.391283737848763,0.11298510504975995,1.3767337776298436,0.009025112108966312,7.149189616684247,-8.518543363285124,-0.34214239614782094,9.8959636654281
M2,simulated,74,0.01628151774166904,0.9252419051275645,-1.3872946098504026,-0.013640769103623438,1.3282411167191506,-0.00031578983594005765,5.9921652712790126,-8.22881869683069,-0.3204067321506538,9.234626764798797
M2,simulated,75,-0.2765165903115802,0.858310549598381,-1.4705273031962383,-0.45978707626774273,1.1681882668238637,-0.045243576674985346,6.445805328358901,-8.57439025957405,-0.3831034779680581,9.66246029982411
M2,simulated,76,-0.06850876783532986,0.8461170861608783,-1.302990648219333,-0.10770022957857509,1.2527853059580354,-0.006326025999378976,7.325564304451928,-8.667336028559113,-0.20614410235688663,8.973568970378071
M2,simulated,77,-0.09777230271768547,0.8412290853678364,-1.3149899535787857,-0.19827357022779218,1.3306141477924702,-0.021906877554949945,6.618670797110264,-8.400487696334672,-0.35515783235519627,9.33981037812549
M2,simulated,78,0.324781634170809,0.8739211032459112,-1.1712720614704566,0.5380609822347935,1.5002908526521321,-0.028800044522075696,6.0239463514625475,-8.400784115982553,-0.42977262490151574,9.000083436522795
M2,simulated,79,-0.03569348796573786,0.8375115107916794,-1.3143975610408558,-0.04484649119681419,1.2635425790725099,-0.040242295404464196,6.08670912920824,-8.248783311194877,-0.4018597128122192,9.335844010608302
M2,simulated,80,-0.05328219584248576,0.8944130151461381,-1.304045117996708,-0.12414912957828662,1.3466535615821085,-0.0035178822349090978,6.53850119388576,-8.392756381106576,-0.36232426987765076,9.417319721752532
M2,simulated,81,0.0025411213355404014,0.853062720064023,-1.3159709057755262,-0.005098257287886441,1.3022513294966982,-0.005896078082480642,6.722619169423441,-9.209629581259804,-0.523863077702609,10.025114888719974
M2,simulated,82,-0.2710703564791401,0.8196943304285516,-1.3825278978020634,-0.3483749887660086,1.1489497874145578,-0.04360013792547172,6.407919978197582,-8.663347258747958,-0.190595906134226,9.417784960493885
M2,simulated,83,-0.043716953062961236,0.8416360809598373,-1.341201121691267,-0.031003850562479375,1.274580361212247,-0.024247028022323706,6.32316181197186,-8.68920230455247,-0.3376417247629243,9.704213732477156
M2,simulated,84,-0.06179054962020773,0.9141818616628113,-1.343334065337787,-0.16465184202777206,1.3268587701007089,-5.220385225802602e-05,6.351306387818431,-8.297750441272658,-0.49706399531490586,9.534956147655173
M2,simulated,85,-0.19737503270661244,0.8202271175709057,-1.4179952424940812,-0.28936559848232535,1.1625542282628896,-0.04361017903905042,6.261560450810563,-8.827992733060855,-0.3784920423195177,10.166112038623238
M2,simulated,86,0.21074035792493842,0.8497212205852958,-1.3251036770819105,0.3821811171293923,1.4183146654528684,-0.03682081871073198,6.585656304124329,-9.153014542768377,-0.30433592832731504,9.477860591080422
M2,simulated,87,-0.07132518368273208,0.879034593790889,-1.2805879005343586,-0.16634803812260768,1.3141758021782841,-0.0472795412516218,6.366982703330305,-8.544582618086581,-0.33381565195662183,9.328293946382239
M2,simulated,88,0.31137144393506005,0.8195406977363032,-1.1274655357048826,0.5147922930719344,1.381486021706101,0.003875951697674296,6.2607903976288,-8.2569203565809,-0.6010094784753367,10.382404682856198
M2,simulated,89,-0.21629873978375408,0.7959260100091201,-1.4011465748840253,-0.2586751101291058,1.0496892052696678,-0.027280527613703167,6.087936239605171,-8.655417691314954,-0.28627413420847514,9.482429556544767
M2,simulated,90,-0.05143324320994239,0.8865670976191262,-1.4527215615274838,-0.03786729781335885,1.3414217171703717,-0.04291653620710668,5.836949742152161,-7.72966714590279,-0.3167401842904441,8.841446297618429
